id,rated,variant,speed,perf,createdAt,lastMoveAt,status,players,winner,opening,moves,clock,tournament
ZGem4RZ5,True,standard,blitz,blitz,2020-12-02 08:41:44.043000+00:00,2020-12-02 08:51:19.945000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2057, 'ratingDiff': -4}, 'black': {'user': {'name': 'Vladimir1961', 'id': 'vladimir1961'}, 'rating': 2136, 'ratingDiff': 5}}",black,"{'eco': 'B08', 'name': 'Pirc Defense: Classical Variation', 'ply': 8}",e4 d6 d4 Nf6 Nc3 g6 Nf3 Bg7 Bd3 Bg4 O-O Nc6 h3 Bxf3 Qxf3 Nxd4 Qd1 e5 f4 exf4 Bxf4 Ne6 Be3 Nd7 Qf3 Ne5 Qe2 Nxd3 cxd3 O-O Nd5 c6 Nf4 Nxf4 Rxf4 Be5 Rf2 c5 Raf1 Qd7 Bh6 Bd4 Be3 Bxe3 Qxe3 Qe6 Rf6 Qe5 b4 b6 Kh1 Rae8 Qf3 Re7 h4 c4 h5 cxd3 hxg6 Qxe4 gxh7+ Kh8 Qd1 Qxh7+ Kg1 Re2 Qa1 Qg7 Rh6+ Kg8 Qxg7+ Kxg7 Rxd6 Rxa2 Rxd3 Re8 Rg3+ Kf8 Rgf3 Re7 Rb3 Ke8 Rc1 Ree2 Rg3 Rab2 Rc4 b5 Rf4 Rb1+ Kh2 Ree1 Kh3 Rbc1 Kg4 Rc4 Rf3 Rec1 Kg3 Rxf4 Rxf4 Rc3+ Kf2 a6 Rf6 Ra3 Rb6 Ke7 g3 Ra4 g4 Rxb4 Rxa6 Rxg4 Rb6 b4 Kf3 Rc4 Rb7+ Kf6 Ke3 Kg6 Kf3 f5 Ke3 Kg5 Kd3 Re4 Rg7+ Kf4 Rg1 Re3+ Kc4 b3 Rb1 Kf3 Rf1+ Ke4 Rb1 f4,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
RAbwccU4,True,standard,blitz,blitz,2020-12-02 08:37:55.558000+00:00,2020-12-02 08:41:17.666000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2063, 'ratingDiff': -6}, 'black': {'user': {'name': 'batasyon', 'id': 'batasyon'}, 'rating': 2047, 'ratingDiff': 6}}",black,"{'eco': 'C40', 'name': 'Elephant Gambit', 'ply': 4}",e4 e5 Nf3 d5 d4 dxe4 Nxe5 Bd6 Nc4 Nf6 Be2 Nc6 O-O O-O Bg5 Nxd4 Nxd6 Qxd6 Nc3 Rd8 Bxf6 Qxf6 Nxe4 Nxe2+ Qxe2 Qxb2 Rad1 Bf5 Ng3 Qxc2 Qb5 Rxd1,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
iLTGpexN,True,standard,blitz,blitz,2020-12-02 08:29:27.175000+00:00,2020-12-02 08:37:29.397000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2057, 'ratingDiff': 6}, 'black': {'user': {'name': 'Halim_trisley', 'id': 'halim_trisley'}, 'rating': 2073, 'ratingDiff': -6}}",white,"{'eco': 'A01', 'name': 'Nimzo-Larsen Attack', 'ply': 1}",b3 e6 Bb2 d5 g3 Nf6 Bg2 c5 e3 Nc6 d3 Bd6 Ne2 O-O Nd2 e5 O-O Bg4 h3 Bf5 a3 Rc8 Rc1 Bb8 Ra1 Qd7 Kh2 h5 Nf3 e4 Nh4 Bh7 Bxf6 gxf6 dxe4 d4 exd4 cxd4 Ng1 Rfd8 Qxh5 Ne5 f4 Ng6 Nf5 Rxc2 Qh6 Rxg2+ Kxg2 Nxf4+ Rxf4 Bxf5 Rxf5 Qe6 Re1 d3 Qxf6 Qxf6 Rxf6 d2 Rd1 Be5 Rf2 Bc3 Nf3 Rd3 b4 f6 g4 Kf7 h4 b6 e5 f5 gxf5 Re3 e6+,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
n5uJjao9,True,standard,blitz,blitz,2020-12-02 08:19:59.442000+00:00,2020-12-02 08:26:05.043000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2068, 'ratingDiff': -5}, 'black': {'user': {'name': 'Halim_trisley', 'id': 'halim_trisley'}, 'rating': 2061, 'ratingDiff': 6}}",black,"{'eco': 'C01', 'name': 'French Defense: Exchange Variation', 'ply': 5}",e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Bd3 c5 c3 cxd4 Nxd4 Bc5 Nb3 Bd6 O-O Bxh2+ Kh1 Ng4 Re1+ Kf8 Qf3 Qh4 g3 Bxg3+ Kg2 Qh2+ Kf1 Nxf2 Re2 Bh3+ Ke1 Ne4+ Kd1 Nf2+ Kc2 Bg4 Qxd5 Nc6 Qc5+ Kg8 Rd2 Rd8 Bc4 Rxd2+ Bxd2 Ne4 Qd5 Nxd2 Qxd2 Bf5+ Kc1 Bf4,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
Ldl7mXZb,True,standard,blitz,blitz,2020-12-02 08:08:16.614000+00:00,2020-12-02 08:15:36.986000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2069, 'ratingDiff': 5}, 'black': {'user': {'name': 'Halim_trisley', 'id': 'halim_trisley'}, 'rating': 2061, 'ratingDiff': -6}}",white,"{'eco': 'C01', 'name': 'French Defense: Exchange Variation', 'ply': 5}",e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Bd3 c5 c3 cxd4 Nxd4 Bc5 Nb3 Bb6 O-O O-O Bg5 a6 Qc2 h6 Bh4 Bc7 Nd4 Nc6 Nf5 Re8 Nd2 Be6 Nb3 Ne5 Be2 Qd7 Nfd4 Ne4 Nxe6 fxe6 Rad1 Qf7 f3 Nd6 Bg3 Nf5 Bf2 Ng6 Rfe1 Nf4 Bf1 Qg6 Bg3 Bb6+ Nd4 Nxd4 Qxg6 Nxf3+ Kh1 Nxg6 gxf3 Rad8 Bd3 Ne7 Rxe6 Nc6 Rde1 Rf8 Bh4 Rc8 Bg6 d4 Kg2 dxc3 bxc3 Na5 Rxb6 Nc4 Rxb7 Nd2 Ree7 Rxf3 Rxg7+ Kf8 Rh7 Kg8 Rbg7+ Kf8 Be7#,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
AzcMOP7j,True,standard,blitz,blitz,2020-12-02 07:55:24.356000+00:00,2020-12-02 08:03:57.682000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2081, 'ratingDiff': -6}, 'black': {'user': {'name': 'Halim_trisley', 'id': 'halim_trisley'}, 'rating': 2048, 'ratingDiff': 7}}",black,"{'eco': 'C05', 'name': 'French Defense: Tarrasch Variation, Closed Variation', 'ply': 6}",e4 e6 d4 d5 Nd2 Nf6 Bd3 dxe4 Nxe4 Nd5 Nf3 Be7 O-O O-O c4 Nf6 Be3 Nc6 h3 g6 Bh6 Re8 Nxf6+ Bxf6 h4 Nxd4 Nxd4 Qxd4 h5 Qxb2 Rb1 Qd4 Qc2 b6 Be4 Ba6 Bxa8 Rxa8 Rfc1 c5 hxg6 hxg6 Be3 Qg4 Qd1 Qxd1+ Rxd1 Bxc4 a4 Bd5 a5 Rb8 Bxc5 Be4 Rb5 Bc2 Rc1 Bd3 Rb3 Bg5 Rcc3 Be4 axb6 axb6 Rxb6 Rc8 Bd4 Ra8 Be3 Bf6 Rc7 Be5 Rc1 Bd5 Rb5 f5 f4 Bf6 Rbc5 Kf7 Rc7+ Ke8 Rc8+ Rxc8 Rxc8+ Kd7 Rb8 e5 fxe5 Bxe5 Kf2 Ke6 Rb6+ Kf7 Bg5 Be6 Rb5 Bd4+ Be3 Bf6 Rb7+ Ke8 Rb6 Kd7 Bc5 Be5 Be3 f4 Bc5 g5 Ra6 g4 Ra7+ Kc6 Bf8 Bd4+ Kf1 Bxa7,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
KsOBXcuD,True,standard,blitz,blitz,2020-12-02 07:16:59.192000+00:00,2020-12-02 07:20:31.985000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2083, 'ratingDiff': 4}, 'black': {'user': {'name': 'Arthur_01', 'id': 'arthur_01'}, 'rating': 2013, 'ratingDiff': -10}}",white,"{'eco': 'B12', 'name': 'Caro-Kann Defense: Advance Variation', 'ply': 5}",e4 c6 d4 d5 e5 e6 Nf3 c5 c3 Nc6 Bb5 Bd7 O-O cxd4 cxd4 Nge7 Nc3 Nf5 Bg5 Qb6 Bxc6 bxc6 Na4 Qc7 Rc1 Be7 Bxe7 Nxe7 Nc5 O-O h4 Qb6 b3 Bc8 h5 Ba6 Re1 Nf5 g4 Nh6 Qc2 Rfc8 Ng5 Qd8 Qxh7+ Kf8 Qh8+ Ke7 Qxg7 Nxg4 Qxf7#,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
0beUX6IW,True,standard,blitz,blitz,2020-12-02 05:19:18.368000+00:00,2020-12-02 05:25:53.464000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2079, 'ratingDiff': 4}, 'black': {'user': {'name': 'pvpzaural', 'id': 'pvpzaural'}, 'rating': 1965, 'ratingDiff': -4}}",white,"{'eco': 'C41', 'name': 'Philidor Defense', 'ply': 5}",e4 e5 Nf3 d6 Bc4 h6 O-O Nf6 Re1 Be7 h3 O-O c3 a6 d4 exd4 cxd4 Bd7 Nc3 Bc6 Qe2 b5 Bb3 Nbd7 Nd5 Bxd5 exd5 Re8 Qd3 Nf8 Nh4 N6h7 Nf5 Bf6 Bd2 Qd7 Bc2 Ng5 h4 Ngh7 a3 Rxe1+ Rxe1 Qd8 g3 Qd7 Qf3 Ng6 Qg4 Kh8 Qf3 Re8 Rxe8+ Qxe8 Be3 Ne7 Nxh6 gxh6 Bxh7 Kxh7 Qxf6 Qf8 h5 Nxd5 Qf5+ Kg8 Qxd5,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
RtEDJK3N,True,standard,blitz,blitz,2020-12-02 05:08:36.395000+00:00,2020-12-02 05:15:57.314000+00:00,resign,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2082, 'ratingDiff': 4}, 'black': {'user': {'name': 'pvpzaural', 'id': 'pvpzaural'}, 'rating': 1961, 'ratingDiff': -4}}",white,"{'eco': 'C41', 'name': 'Philidor Defense', 'ply': 5}",e4 e5 Nf3 d6 Bc4 h6 O-O Nf6 Re1 Be7 c3 O-O h3 c5 d4 cxd4 cxd4 Nc6 Nc3 a6 a4 Qc7 Nd5 Bd8 Nxc7 Bxc7 dxe5 dxe5 b3 Ba5 Bd2 Bb6 Bc3 Bc7 Qc2 Re8 Nh4 Bd7 Nf5 Bxf5 exf5 Rad8 Rad1 Rb8 f4 b5 axb5 axb5 Bf1 b4 Bxe5 Nxe5 Qxc7 Rbc8 Qa5 Nc6 Rxe8+ Rxe8 Qb5 Rc8 Rd6 Ne7 Bc4 Ra8 Qxb4 Nxf5 Rxf6 gxf6 Qb7 Rf8 Qd5 Ne3 Qh5 Kg7 Bd3 Rd8 Qe2 Nd5 Qe4 Kf8 Qh7 Ke7 Qxh6 Nxf4 Qxf4 Rxd3 Qe4+,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
rSqmZ4fB,True,standard,bullet,bullet,2020-12-01 22:58:30.475000+00:00,2020-12-01 23:00:55.689000+00:00,outoftime,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2135, 'ratingDiff': 17}, 'black': {'user': {'name': 'Cambod', 'patron': True, 'id': 'cambod'}, 'rating': 2215, 'ratingDiff': -7}}",white,"{'eco': 'B12', 'name': 'Caro-Kann Defense: Advance Variation, Short Variation', 'ply': 7}",e4 c6 d4 d5 e5 Bf5 Nf3 e6 Nbd2 Ne7 Bd3 h5 Bxf5 Nxf5 c3 c5 Nb3 cxd4 cxd4 Nc6 Be3 Qb6 O-O a5 a4 Rc8 Rc1 Be7 h3 h4 Qd2 Kd7 Nc5+ Bxc5 dxc5 Qb4 Qxb4 Nxb4 Nd4 Nd3 Rc2 Nxe5 Nxf5 exf5 Bd4 f6 Re1 Nc4 Bc3 Rhe8 Rd1 Kc6 b4 axb4 Bxb4 Ra8 a5 Nxa5 Ra2 Nc4 Rc2 Ra4 Be1 Ne5 Bc3 d4 Bxd4 Rd8 Rcd2 Nc4 Rd3 Ne5 Bxe5 Rxd3 Rxd3 fxe5 Rd6+ Kxc5 Rg6 b5 Rxg7 b4 Rc7+ Kd5 Rd7+ Ke4 Rd1 Kf4 Re1 e4 Rxe4+ Kxe4 f3+ Ke5 g3 b3 Kg2 Kd4 f4 b2 Kf3,"{'initial': 60, 'increment': 0, 'totalTime': 60}",
HqXNuf3j,True,standard,blitz,blitz,2020-12-01 06:53:58.361000+00:00,2020-12-01 07:03:09.156000+00:00,mate,"{'white': {'user': {'name': 'Lusthetics', 'id': 'lusthetics'}, 'rating': 2075, 'ratingDiff': 6}, 'black': {'user': {'name': 'Frankmozes', 'id': 'frankmozes'}, 'rating': 2106, 'ratingDiff': -6}}",white,"{'eco': 'C41', 'name': 'Philidor Defense', 'ply': 4}",e4 e5 Nf3 d6 Nc3 Nd7 Bc4 Ngf6 O-O Be7 d3 O-O h3 c6 Be3 b5 Bb3 a5 a3 Kh8 Nd2 Rb8 f4 b4 axb4 axb4 Ne2 Ng8 f5 Nb6 Ra7 Nf6 Nf3 Bb7 Ng5 d5 Nf3 Bd6 Ng3 c5 Bg5 c4 Ba2 b3 Bb1 Nbd7 exd5 Qb6+ Kh2 Qxa7 dxc4 e4 Nd4 bxc2 Bxc2 Bxg3+ Kxg3 Ba6 Nc6 Qc7+ Bf4 Ne5 Bxe5 Nh5+ Kh2 Qb6 Qxh5 Rb7 f6 g6 Qh6 Rg8 Ne7 Qd8 Nxg8 Qxg8 b3 Rd7 Ra1 Bb7 Bd4 Bc8 Ra8 Rc7 d6 Rc6 Bxe4 Rxd6 Rxc8 Qxc8 Qg7#,"{'initial': 180, 'increment': 2, 'totalTime': 260}",
